C-nat
mean;StdDiv 
****************************************
14;0
7.89857;3.57579
4.44776;3.05334
2.51955;2.23674
1.41109;1.47137
0.794801;0.954105
0.440922;0.605432
0.244913;0.364006
0.133917;0.225827
0.075209;0.152624
0.0416716;0.0923391
0.0233925;0.0595046
0.013481;0.0371627
0.00701106;0.0213601
0.00365859;0.00990511
0.00207375;0.00703731
0.00124304;0.00554553
0.000737737;0.00427829
0.000355499;0.00159394
0.000182951;0.000737582
0.000103243;0.000441892
5.75675e-05;0.000305749
3.02173e-05;0.000156286
1.58322e-05;9.95109e-05
9.41451e-06;7.34211e-05
6.4395e-06;6.78335e-05
4.07946e-06;4.37849e-05
2.62657e-06;3.6944e-05
1.38731e-06;1.71503e-05
6.19225e-07;5.63775e-06
4.05412e-07;4.35606e-06
2.80576e-07;3.49746e-06
1.64775e-07;1.92025e-06
1.24055e-07;1.61149e-06
8.43923e-08;7.04345e-07
5.90246e-08;1.39609e-07
5.4074e-08;1.25099e-07
5.22644e-08;1.15669e-07
4.89642e-08;7.07905e-08
4.51242e-08;3.61809e-08
4.53272e-08;3.49269e-08
4.52089e-08;3.57551e-08
4.24823e-08;3.34744e-08
4.47104e-08;3.79724e-08
4.43162e-08;3.91764e-08
4.46774e-08;3.74329e-08
4.35909e-08;3.69583e-08
4.24936e-08;3.43755e-08
4.40881e-08;3.64745e-08
4.39772e-08;3.62035e-08
4.44397e-08;3.57763e-08
4.35687e-08;3.28099e-08
4.30298e-08;3.36023e-08
4.34139e-08;3.47883e-08
4.30615e-08;3.43321e-08
4.43537e-08;3.53702e-08
4.42457e-08;3.63262e-08
4.48134e-08;3.87689e-08
4.59994e-08;3.98531e-08
4.53436e-08;3.96311e-08
4.47617e-08;3.70744e-08
4.37803e-08;3.50665e-08
4.23154e-08;3.46774e-08
4.50075e-08;3.66016e-08
4.51752e-08;3.51487e-08
4.49557e-08;3.71231e-08
4.52284e-08;3.55627e-08
4.53426e-08;3.71044e-08
4.55167e-08;3.73806e-08
4.61773e-08;3.70872e-08
4.76384e-08;4.10004e-08
4.4575e-08;3.71889e-08
4.4631e-08;3.60373e-08
4.34971e-08;3.55415e-08
4.22353e-08;3.70991e-08
4.24773e-08;3.54056e-08
4.27805e-08;3.42805e-08
4.28884e-08;3.42528e-08
4.38e-08;3.56682e-08
4.31331e-08;3.46506e-08
4.38219e-08;3.63706e-08
4.27909e-08;3.49099e-08
4.35646e-08;3.64017e-08
4.36561e-08;3.47514e-08
4.50167e-08;3.65041e-08
4.43678e-08;3.77803e-08
4.43229e-08;3.68537e-08
4.46746e-08;3.67134e-08
4.49659e-08;3.56125e-08
4.45646e-08;3.65636e-08
4.45358e-08;3.48032e-08
4.37807e-08;3.48151e-08
4.53096e-08;3.74949e-08
4.63426e-08;3.88709e-08
4.42038e-08;3.6074e-08
4.43835e-08;3.44524e-08
4.52128e-08;3.65088e-08
4.50551e-08;3.51837e-08
4.44604e-08;3.47428e-08
4.50621e-08;3.78948e-08
4.40831e-08;3.83113e-08
4.48695e-08;3.70332e-08
4.59094e-08;3.78154e-08
4.15822e-08;3.44154e-08
4.3387e-08;3.44771e-08
4.33696e-08;3.49133e-08
4.51911e-08;3.77027e-08
4.45972e-08;3.83785e-08
4.53819e-08;3.76903e-08
4.39469e-08;3.73387e-08
4.37161e-08;3.84418e-08
4.35416e-08;3.52783e-08
4.54376e-08;3.5501e-08
4.49544e-08;3.73298e-08
4.57774e-08;3.69314e-08
4.46555e-08;3.54912e-08
4.4814e-08;3.5605e-08
4.5536e-08;3.68366e-08
4.52402e-08;3.66861e-08
4.62214e-08;3.70279e-08
4.46604e-08;3.64686e-08
4.37155e-08;3.3737e-08
4.50853e-08;3.58327e-08
4.39812e-08;3.50851e-08
4.57609e-08;3.61937e-08
4.42842e-08;3.53469e-08
4.42789e-08;3.58032e-08
4.41029e-08;3.51993e-08
4.45544e-08;3.72474e-08
4.40284e-08;3.53238e-08
4.61624e-08;3.76902e-08
4.64594e-08;3.88549e-08
4.60861e-08;3.79515e-08
4.49284e-08;3.72773e-08
4.63485e-08;3.93666e-08
4.61111e-08;3.85102e-08
4.52796e-08;3.79046e-08
4.53996e-08;3.70496e-08
4.52363e-08;3.72798e-08
4.23427e-08;3.40225e-08
4.47092e-08;3.59262e-08
4.4814e-08;3.6386e-08
4.45186e-08;3.513e-08
4.22402e-08;3.39615e-08
4.36585e-08;3.5285e-08
4.46857e-08;3.69702e-08
4.41402e-08;3.58595e-08
4.35981e-08;3.53365e-08
4.2529e-08;3.58923e-08
4.46295e-08;3.80502e-08
4.52137e-08;3.53802e-08
4.57229e-08;3.74596e-08
4.49908e-08;3.58199e-08
4.52641e-08;3.48759e-08
4.50798e-08;3.6516e-08
4.40747e-08;3.47472e-08
4.38374e-08;3.67302e-08
4.31165e-08;3.43861e-08
4.33969e-08;3.64544e-08
4.48739e-08;3.57861e-08
4.54179e-08;3.57833e-08
4.61151e-08;3.65636e-08
4.46941e-08;3.7646e-08
4.57357e-08;3.80596e-08
4.50106e-08;3.70313e-08
4.59444e-08;3.68097e-08
4.58253e-08;3.70373e-08
4.77106e-08;3.94018e-08
4.60661e-08;3.70856e-08
4.48187e-08;3.70546e-08
4.52881e-08;3.71334e-08
4.50041e-08;3.69131e-08
4.48971e-08;3.83413e-08
4.58366e-08;3.81195e-08
4.57786e-08;3.97187e-08
4.30437e-08;3.44991e-08
4.52246e-08;3.68453e-08
4.35265e-08;3.60242e-08
4.39372e-08;3.71948e-08
4.515e-08;3.77287e-08
4.48737e-08;3.71689e-08
4.63789e-08;3.95668e-08
4.59853e-08;3.83065e-08
4.46113e-08;3.68178e-08
4.27744e-08;3.57181e-08
4.41941e-08;3.78301e-08
4.40575e-08;3.58598e-08
4.41884e-08;3.47817e-08
4.46135e-08;3.57541e-08
4.40358e-08;3.53011e-08
4.44979e-08;3.79542e-08
4.44504e-08;3.63932e-08
4.47771e-08;3.70075e-08
4.56844e-08;3.7073e-08
4.62257e-08;3.67068e-08
4.48799e-08;3.51439e-08
4.46157e-08;3.52495e-08
4.55283e-08;3.73847e-08
4.37911e-08;3.64814e-08
4.45071e-08;3.51479e-08
