C-nat
mean;StdDiv 
****************************************
14;0
7.72466;3.57692
4.35423;3.00276
2.40038;2.11487
1.33957;1.40483
0.714744;0.862934
0.393821;0.544789
0.214314;0.32305
0.120329;0.202392
0.0684348;0.131341
0.0377787;0.0831115
0.0210605;0.0517026
0.0124448;0.0349309
0.00733404;0.0264702
0.00412134;0.018238
0.00251062;0.0137079
0.00162798;0.0119291
0.000878517;0.00749363
0.000516247;0.00423776
0.000272496;0.00207471
0.000117902;0.000545807
6.48883e-05;0.000344052
3.34497e-05;0.000156513
1.8295e-05;9.50668e-05
1.09021e-05;6.35822e-05
6.14406e-06;3.72305e-05
3.25905e-06;2.33735e-05
1.66819e-06;8.91877e-06
9.83991e-07;5.16651e-06
5.76891e-07;3.3052e-06
3.3844e-07;1.82123e-06
2.12785e-07;1.23725e-06
1.21341e-07;4.6258e-07
8.88847e-08;3.43224e-07
6.91511e-08;2.68131e-07
6.22103e-08;2.04231e-07
5.74693e-08;1.54953e-07
5.27457e-08;1.44568e-07
4.74443e-08;6.1783e-08
4.5375e-08;3.94802e-08
4.43021e-08;3.65658e-08
4.57442e-08;3.79888e-08
4.45718e-08;3.52587e-08
4.5144e-08;3.72414e-08
4.56364e-08;3.99477e-08
4.53055e-08;3.95629e-08
4.4772e-08;3.71749e-08
4.40554e-08;3.7406e-08
4.43661e-08;3.57036e-08
4.5742e-08;3.69269e-08
