B-10
mean;StdDiv 
****************************************
14;0
6.98965;4.19666
3.52929;3.15238
1.80502;2.17543
0.916418;1.39347
0.489614;0.85403
0.236375;0.500854
0.110366;0.250341
0.0527888;0.130026
0.0264866;0.073855
0.0135596;0.0434699
0.00684388;0.0248774
0.00333301;0.0134168
0.00163508;0.00673885
0.000848701;0.00419275
0.000402549;0.00232688
0.000208234;0.00171049
9.84555e-05;0.000771542
5.37659e-05;0.000578087
1.98688e-05;0.000111602
9.78986e-06;6.64274e-05
5.86251e-06;4.70111e-05
3.23271e-06;2.92867e-05
1.80302e-06;1.91318e-05
6.83599e-07;5.43628e-06
3.39122e-07;2.70134e-06
1.7717e-07;1.24085e-06
1.14072e-07;7.27596e-07
8.03859e-08;3.88219e-07
5.7844e-08;1.7589e-07
5.35773e-08;1.439e-07
4.8319e-08;6.31981e-08
4.47255e-08;5.61572e-08
4.39004e-08;3.62122e-08
4.53436e-08;3.64626e-08
4.29412e-08;3.60175e-08
4.34304e-08;3.32709e-08
4.50379e-08;3.52777e-08
4.32082e-08;3.37616e-08
4.37511e-08;3.50345e-08
4.25397e-08;3.53362e-08
4.33584e-08;3.5724e-08
4.46066e-08;3.82986e-08
4.44605e-08;3.81182e-08
4.4471e-08;3.66401e-08
4.40975e-08;3.63799e-08
4.41871e-08;3.56282e-08
4.50101e-08;3.70046e-08
4.36662e-08;3.6984e-08
4.25127e-08;3.59937e-08
4.20562e-08;3.39545e-08
4.26216e-08;3.4383e-08
4.3706e-08;3.63437e-08
4.34191e-08;3.43859e-08
4.4971e-08;3.70847e-08
4.44916e-08;3.5766e-08
4.50238e-08;3.54358e-08
4.51298e-08;3.89714e-08
4.52005e-08;3.71044e-08
4.42011e-08;3.60238e-08
4.3125e-08;3.59973e-08
4.26225e-08;3.45476e-08
4.32137e-08;3.52017e-08
4.32282e-08;3.61675e-08
4.38832e-08;3.47546e-08
4.36887e-08;3.57355e-08
4.3022e-08;3.58745e-08
4.45007e-08;3.62313e-08
4.30195e-08;3.49332e-08
4.31947e-08;3.52897e-08
4.52338e-08;3.71812e-08
4.39569e-08;3.73154e-08
4.41468e-08;3.84283e-08
4.28511e-08;3.62013e-08
4.28087e-08;3.42409e-08
4.38298e-08;3.66467e-08
4.59208e-08;3.842e-08
4.44939e-08;3.69663e-08
4.55969e-08;3.6808e-08
4.4988e-08;3.47663e-08
4.46048e-08;3.56171e-08
4.47346e-08;3.74288e-08
4.60822e-08;3.8081e-08
4.45724e-08;3.60628e-08
4.4587e-08;3.81468e-08
4.47566e-08;3.73365e-08
4.3658e-08;3.71935e-08
4.3535e-08;3.70836e-08
4.39921e-08;3.57069e-08
4.44779e-08;3.6275e-08
4.49143e-08;3.80003e-08
4.49891e-08;3.71852e-08
4.58416e-08;3.71759e-08
4.54183e-08;3.65234e-08
4.40896e-08;3.53828e-08
4.42697e-08;3.54539e-08
4.31131e-08;3.5451e-08
4.24796e-08;3.48107e-08
4.20497e-08;3.70091e-08
4.22978e-08;3.38911e-08
4.29924e-08;3.51452e-08
4.47812e-08;3.73269e-08
4.36929e-08;3.61986e-08
4.25427e-08;3.53083e-08
4.31499e-08;3.49446e-08
4.37124e-08;3.47995e-08
4.27891e-08;3.42826e-08
4.21117e-08;3.42753e-08
4.25685e-08;3.38477e-08
4.38541e-08;3.62569e-08
4.57436e-08;3.7196e-08
4.6162e-08;3.69856e-08
4.63729e-08;3.84473e-08
4.64492e-08;3.85136e-08
4.50946e-08;3.73553e-08
4.45184e-08;3.76438e-08
4.49961e-08;3.79275e-08
4.52394e-08;3.81868e-08
4.56391e-08;3.87848e-08
4.55102e-08;3.84659e-08
4.2429e-08;3.68525e-08
4.37269e-08;3.69446e-08
4.36007e-08;3.71276e-08
4.30404e-08;3.84141e-08
4.37829e-08;3.58902e-08
4.31674e-08;3.52607e-08
4.19757e-08;3.35657e-08
4.39371e-08;3.54528e-08
4.50318e-08;3.57966e-08
4.35494e-08;3.61162e-08
4.35808e-08;3.41911e-08
4.37907e-08;3.47791e-08
4.46969e-08;3.55137e-08
4.27193e-08;3.50835e-08
4.231e-08;3.42739e-08
4.4267e-08;3.49099e-08
4.5018e-08;3.67685e-08
4.43606e-08;3.74575e-08
4.38193e-08;3.57061e-08
4.43722e-08;3.40981e-08
4.43675e-08;3.53446e-08
4.50915e-08;3.52315e-08
4.58134e-08;3.51764e-08
4.37049e-08;3.559e-08
4.40711e-08;3.69308e-08
4.37975e-08;3.63717e-08
4.2215e-08;3.35923e-08
4.33868e-08;3.40327e-08
4.56017e-08;3.67998e-08
4.74314e-08;3.81642e-08
4.46444e-08;3.58384e-08
4.34525e-08;3.45075e-08
4.25484e-08;3.49368e-08
4.28379e-08;3.57888e-08
4.31268e-08;3.57861e-08
4.34756e-08;3.43459e-08
4.30704e-08;3.53924e-08
4.34523e-08;3.60339e-08
4.36873e-08;3.58129e-08
4.21708e-08;3.57863e-08
4.13939e-08;3.51092e-08
4.28475e-08;3.40221e-08
4.39802e-08;3.45745e-08
4.37059e-08;3.47332e-08
4.41088e-08;3.62477e-08
4.40847e-08;3.5896e-08
4.32583e-08;3.38107e-08
4.48469e-08;3.69242e-08
4.30894e-08;3.6633e-08
4.27328e-08;3.47512e-08
4.45363e-08;3.61615e-08
4.358e-08;3.59765e-08
4.24574e-08;3.63165e-08
4.16205e-08;3.4303e-08
4.36118e-08;3.53636e-08
4.39792e-08;3.74401e-08
4.37666e-08;3.66199e-08
4.50621e-08;3.7578e-08
4.23679e-08;3.37572e-08
4.28131e-08;3.29044e-08
4.43184e-08;3.5961e-08
4.4887e-08;3.57834e-08
4.52468e-08;3.68949e-08
4.38164e-08;3.52456e-08
4.47912e-08;3.71304e-08
4.24693e-08;3.43259e-08
4.32911e-08;3.52144e-08
4.46959e-08;3.50181e-08
4.44346e-08;3.59699e-08
4.55849e-08;3.75322e-08
4.64948e-08;3.82604e-08
4.57989e-08;3.83739e-08
4.53129e-08;3.71967e-08
4.7037e-08;3.90032e-08
4.49125e-08;3.598e-08
4.58234e-08;3.47205e-08
4.45606e-08;3.47787e-08
4.40369e-08;3.56113e-08
4.45046e-08;3.54989e-08
4.2678e-08;3.59839e-08
