H-1
mean;StdDiv;Enrichment 
0;0;0.0072
0.3;0.9;0.0122
0;0;0.0172
0.7;1.1;0.0222
0.5;1.0247;0.0272
0.4;0.8;0.0322
0.9;1.13578;0.0372
0.5;1.0247;0.0422
0;0;0.0472
0.3;0.9;0.0522
2.4;0.916515;0.0572
1.4;1.2;0.0622
0.4;0.8;0.0672
0.9;1.13578;0.0722
1.6;1.35647;0.0772
0.3;0.9;0.0822
1.1;1.37477;0.0872
1.6;1.35647;0.0922
0.9;1.13578;0.0972
1.8;1.249;0.1022
1.6;1.35647;0.1072
1.3;1.34536;0.1122
1.4;1.42829;0.1172
1;1.26491;0.1222
1.1;1.37477;0.1272
1.3;1.34536;0.1322
0.7;1.1;0.1372
1.3;1.34536;0.1422
1.3;1.34536;0.1472
1.6;1.11355;0.1522
1.6;1.35647;0.1572
1.5;1.28452;0.1622
