H-1
mean;StdDiv;Enrichment 
0.201;0.700428;0.0072
0.22;0.715262;0.0122
0.309;0.836373;0.0172
0.369;0.899355;0.0222
0.461;0.994223;0.0272
0.573;1.08105;0.0322
0.572;1.07648;0.0372
0.563;1.04596;0.0422
0.732;1.15333;0.0472
0.678;1.12353;0.0522
0.838;1.20572;0.0572
0.847;1.21062;0.0622
0.906;1.23498;0.0672
0.868;1.21679;0.0722
0.943;1.26244;0.0772
0.943;1.21151;0.0822
0.979;1.24682;0.0872
1.019;1.26358;0.0922
1.122;1.27558;0.0972
1.114;1.27397;0.1022
1.211;1.27925;0.1072
1.134;1.26966;0.1122
1.203;1.29684;0.1172
1.246;1.2998;0.1222
1.275;1.29514;0.1272
1.268;1.28848;0.1322
1.311;1.27054;0.1372
1.317;1.2948;0.1422
1.338;1.27662;0.1472
1.415;1.30184;0.1522
1.352;1.28689;0.1572
1.388;1.28353;0.1622
