N;coinMean;coinStdD;coinFOM;coinT;needleMean;needleStdD;needleFOM,needleT;
1000;3.1432;0.0499312;6915.58;0.058;3.16163;0.0930489;3725.76;0.031;
1000;3.14344;0.0618282;3846.96;0.068;3.13634;0.0727814;6509.7;0.029;
1000;3.14348;0.0534375;4932.29;0.071;3.14439;0.0868652;5522;0.024;
1000;3.14744;0.0542292;4658.12;0.073;3.15074;0.0767408;3612.85;0.047;
1000;3.1396;0.0605482;5566.75;0.049;3.14469;0.0784168;5607.69;0.029;
1000;3.1306;0.0513011;4749.6;0.08;3.14811;0.0716501;5410.83;0.036;
10;3.52;0.24;526.094;0.033;3.64603;1.23573;inf;0;
10;3.16;0.656049;110.639;0.021;3.4381;0.764445;1711.23;0.001;
1000;3.14228;0.0534363;4377.61;0.08;3.13452;0.0768291;4578.75;0.037;
1000;3.14848;0.0578585;5974.41;0.05;3.13095;0.0759353;5980.18;0.029;
1000;3.1484;0.0568662;6310.97;0.049;3.14155;0.0803359;5533.79;0.028;
1000;3.14212;0.0582449;5171.42;0.057;3.14795;0.0802866;2820.66;0.055;
1000;3.1502;0.063244;5555.83;0.045;3.13236;0.0718815;6048.05;0.032;
1000;3.14248;0.0612608;4934.47;0.054;3.15552;0.0763661;4634.44;0.037;
1000;3.14448;0.0566004;6785.82;0.046;3.1403;0.0753371;6292.51;0.028;
1000;3.14596;0.0550476;6111.24;0.054;3.15152;0.0756904;6233.91;0.028;
1000;3.1472;0.0594723;6015.5;0.047;3.13019;0.0810946;5631.87;0.027;
1000;3.145;0.0574481;5050.08;0.06;3.14099;0.0782222;4669.52;0.035;
1000;3.14832;0.0641141;4123.26;0.059;3.1456;0.0769389;6256.68;0.027;
